NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
HD 196885 b,,2.9439,2.54171,1333,0.48,935.6203223862609
24 Sex b,,1.83564,1.4118,455.2,0.184,583.3968846037963
HD 190228 b,,5.94193,2.60478,1136.1,0.531,1888.4440579491813
Kepler-333 b,1.320003197817532,,0.105697,12.551158,,2.4443720528271564
Kepler-510 b,2.4659757608065096,,0.137663,19.55659418,0,6.123944722305915
Kepler-370 c,1.9099991075712202,,0.139463,19.02293,,4.471012307924074
OGLE-2006-BLG-109L b,,,2.30386,1788.5,,231.0526765089886
BD +20 594 b,2.28148714695599,0.0515049,0.232191,41.6855,0,16.36962129657527
Kepler-762 b,12.677357206691648,,0.0483406,3.7705521,0,317.8166114291453
Kepler-128 b,,,0.126287,15.09,,
Kepler-111 c,7.299983208792586,,0.723521,224.784608,,50.61261318670282
HD 141399 b,,0.450523,0.415174,94.44,0.04,143.18369323089283
HIP 74890 b,,2.43024,2.06698,822.3,0.07,772.3706417595661
Kepler-267 d,2.269997941706778,,0.182449,28.464515,,5.460693235914431
HD 181720 b,,0.37199,1.84741,956,0.26,118.22460128552775
55 Cnc c,,0.164558,0.237305,44.38,0.07,52.299265943557295
Kepler-1125 b,1.8382728398739436,,0.130519,17.6700642,0,4.301902088982625
Kepler-995 b,2.701364356156222,,0.170669,28.26731672,0,7.066906608416189
HD 156411 b,,0.732711,1.87545,842.2,0.22,232.86772717686048
Kepler-1196 b,2.2305871654567975,,0.318069,66.1849031,0,5.339033037059355
HATS-3 b,15.479602389426317,1.07114,0.0485119,3.547851,0,341.1761323691875
Kepler-101 b,5.869986283062353,,0.0450089,3.487691,,36.67571914231194
Kepler-536 b,3.104887662470015,,0.0284473,1.8270823,0,9.13627412875364
Kepler-680 b,2.421139837882755,,0.0479468,3.68992629,0,5.963129516922767
91 Aqr b,,3.07016,0.688457,181.4,0.027,975.7478477453049
Kepler-362 b,0.8799980219187532,,0.0928099,10.327186,,0.5877700411770613
Kepler-301 b,1.3499984302535237,,0.0361317,2.508553,,2.637321695791905
Kepler-1126 b,1.7261830325645569,,0.433249,108.593329,0,4.052034669077031
Kepler-860 b,3.2393954312412783,,0.0587592,5.10137945,0,9.974388314753439
Kepler-403 b,1.2500031131528198,,0.0718296,7.031462,,2.0297929958822936
Kepler-676 b,3.0376337780843827,,0.0801169,11.59822172,0,8.746758089786079
